Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2024;3,06
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2023;2,96
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2022;3,10
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2021;3,20
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2020;3,67
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2019;2,92
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2018;2,81
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2017;2,87
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2016;2,98
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2015;2,97
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2024;244.447.131
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2023;240.473.683
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2022;245.440.219
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2021;246.592.875
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2020;210.984.725
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2019;264.776.360
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2018;261.643.807
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2017;266.247.655
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2016;256.339.020
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2015;246.912.284
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2024;11.483.743,24
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2023;11.273.027,78
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2022;10.511.006,55
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2021;9.030.158,49
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2020;6.523.992,52
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2019;9.551.900,45
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2018;9.073.123,82
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2017;8.630.137,04
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2016;7.981.721,58
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2015;7.549.602,23
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2024;143,79
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2023;138,61
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2022;132,95
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;117,03
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;113,47
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;105,34
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;97,51
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2017;92,99
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2016;92,73
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2015;90,78
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2024;46,98
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2023;46,88
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2022;42,83
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;36,62
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;30,92
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;36,08
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;34,68
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2017;32,41
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2016;31,14
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2015;30,58
Dentro de la provincia;Viajes;Valor absoluto;2024;45.230.804
Dentro de la provincia;Viajes;Valor absoluto;2023;45.145.869
Dentro de la provincia;Viajes;Valor absoluto;2022;44.579.937
Dentro de la provincia;Viajes;Valor absoluto;2021;46.020.316
Dentro de la provincia;Viajes;Valor absoluto;2020;35.871.163
Dentro de la provincia;Viajes;Valor absoluto;2019;54.222.516
Dentro de la provincia;Viajes;Valor absoluto;2018;54.541.106
Dentro de la provincia;Viajes;Valor absoluto;2017;54.796.720
Dentro de la provincia;Viajes;Valor absoluto;2016;50.823.320
Dentro de la provincia;Viajes;Valor absoluto;2015;47.583.789
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2024;2,99
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2023;2,82
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2022;2,93
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2021;3,01
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2020;3,55
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2019;2,76
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2018;2,69
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2017;2,76
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2016;2,82
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2015;2,81
Dentro de la provincia;Pernoctaciones;Valor absoluto;2024;135.087.466
Dentro de la provincia;Pernoctaciones;Valor absoluto;2023;127.315.540
Dentro de la provincia;Pernoctaciones;Valor absoluto;2022;130.549.907
Dentro de la provincia;Pernoctaciones;Valor absoluto;2021;138.392.694
Dentro de la provincia;Pernoctaciones;Valor absoluto;2020;127.479.349
Dentro de la provincia;Pernoctaciones;Valor absoluto;2019;149.574.246
Dentro de la provincia;Pernoctaciones;Valor absoluto;2018;146.571.637
Dentro de la provincia;Pernoctaciones;Valor absoluto;2017;151.026.902
Dentro de la provincia;Pernoctaciones;Valor absoluto;2016;143.363.494
Dentro de la provincia;Pernoctaciones;Valor absoluto;2015;133.794.937
Dentro de la provincia;Gasto total;Valor absoluto;2024;4.984.108,07
Dentro de la provincia;Gasto total;Valor absoluto;2023;4.690.879,22
Dentro de la provincia;Gasto total;Valor absoluto;2022;4.350.687,21
Dentro de la provincia;Gasto total;Valor absoluto;2021;3.956.591,11
Dentro de la provincia;Gasto total;Valor absoluto;2020;3.059.638,63
Dentro de la provincia;Gasto total;Valor absoluto;2019;4.238.372,60
Dentro de la provincia;Gasto total;Valor absoluto;2018;3.943.462,63
Dentro de la provincia;Gasto total;Valor absoluto;2017;3.831.839,31
Dentro de la provincia;Gasto total;Valor absoluto;2016;3.450.932,38
Dentro de la provincia;Gasto total;Valor absoluto;2015;3.065.641,25
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2024;110,19
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2023;103,90
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2022;97,59
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2021;85,97
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2020;85,30
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2019;78,17
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2018;72,30
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2017;69,93
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2016;67,90
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2015;64,43
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2024;36,90
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2023;36,84
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2022;33,33
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2021;28,59
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2020;24,00
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2019;28,34
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2018;26,90
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2017;25,37
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2016;24,07
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2015;22,91
A otra Comunidad Autónoma;Viajes;Valor absoluto;2024;82.940.366
A otra Comunidad Autónoma;Viajes;Valor absoluto;2023;85.273.832
A otra Comunidad Autónoma;Viajes;Valor absoluto;2022;76.194.865
A otra Comunidad Autónoma;Viajes;Valor absoluto;2021;58.528.956
A otra Comunidad Autónoma;Viajes;Valor absoluto;2020;38.955.673
