,dia,mes,anio,festivo,provincia,comunidad,ambito
203,8,Septiembre,2018,Virgen de los Llanos,Albacete,Castilla-La Mancha,local
204,12,Octubre,2018,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
205,1,Noviembre,2018,Día de Todos los Santos,Albacete,Castilla-La Mancha,nacional
206,6,Diciembre,2018,Día de la Constitución Española,Albacete,Castilla-La Mancha,nacional
207,8,Diciembre,2018,Inmaculada Concepción,Albacete,Castilla-La Mancha,nacional
208,25,Diciembre,2018,Navidad,Albacete,Castilla-La Mancha,nacional
209,1,Enero,2019,Año nuevo,Albacete,Castilla-La Mancha,nacional
210,18,Abril,2019,Jueves Santo,Albacete,Castilla-La Mancha,regional
211,19,Abril,2019,Viernes Santo,Albacete,Castilla-La Mancha,nacional
212,22,Abril,2019,Lunes de Pascua,Albacete,Castilla-La Mancha,regional
213,1,Mayo,2019,Fiesta del Trabajo,Albacete,Castilla-La Mancha,nacional
214,31,Mayo,2019,Día de la Región de Castilla la Mancha,Albacete,Castilla-La Mancha,regional
215,20,Junio,2019,Corpus Christi,Albacete,Castilla-La Mancha,regional
216,24,Junio,2019,San Juan,Albacete,Castilla-La Mancha,local
217,15,Agosto,2019,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
218,8,Septiembre,2019,Virgen de los Llanos(se traslada al lunes),Albacete,Castilla-La Mancha,local
219,12,Octubre,2019,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
220,1,Noviembre,2019,,Albacete,Castilla-La Mancha,nacional
221,6,Diciembre,2019,Día de la Constitución Española,Albacete,Castilla-La Mancha,nacional
222,25,Diciembre,2019,Natividad del Señor,Albacete,Castilla-La Mancha,nacional
223,1,Enero,2020,Año nuevo,Albacete,Castilla-La Mancha,nacional
224,6,Enero,2020,Epifanía del Señor,Albacete,Castilla-La Mancha,nacional
225,19,Marzo,2020,San José,Albacete,Castilla-La Mancha,regional
226,9,Abril,2020,Jueves Santo,Albacete,Castilla-La Mancha,regional
227,10,Abril,2020,Viernes Santo,Albacete,Castilla-La Mancha,nacional
228,13,Abril,2020,Lunes de Pascua,Albacete,Castilla-La Mancha,regional
229,1,Mayo,2020,Fiesta del Trabajo,Albacete,Castilla-La Mancha,nacional
230,11,Junio,2020,Fiestas del Corpus Christi,Albacete,Castilla-La Mancha,regional
231,24,Junio,2020,San Juan Bautista,Albacete,Castilla-La Mancha,local
232,15,Agosto,2020,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
233,8,Septiembre,2020,Virgen de los Llanos,Albacete,Castilla-La Mancha,local
234,12,Octubre,2020,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
235,8,Diciembre,2020,Inmaculada Concepción,Albacete,Castilla-La Mancha,nacional
236,25,Diciembre,2020,Navidad del Señor,Albacete,Castilla-La Mancha,nacional
237,1,Enero,2021,Año nuevo,Albacete,Castilla-La Mancha,nacional
238,6,Enero,2021,Epifanía del Señor,Albacete,Castilla-La Mancha,nacional
239,1,Abril,2021,Jueves Santo,Albacete,Castilla-La Mancha,regional
240,2,Abril,2021,Viernes Santo,Albacete,Castilla-La Mancha,nacional
241,1,Mayo,2021,Fiesta del Trabajo,Albacete,Castilla-La Mancha,nacional
242,31,Mayo,2021,Día de la Región de Castilla la Mancha,Albacete,Castilla-La Mancha,regional
243,3,Junio,2021,Corpus Christi,Albacete,Castilla-La Mancha,regional
244,24,Junio,2021,San Juan,Albacete,Castilla-La Mancha,local
245,8,Septiembre,2021,Virgen de los Llanos,Albacete,Castilla-La Mancha,local
246,12,Octubre,2021,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
247,1,Noviembre,2021,Día de Todos los Santos,Albacete,Castilla-La Mancha,nacional
248,6,Diciembre,2021,Día de la Constitución Española,Albacete,Castilla-La Mancha,nacional
249,8,Diciembre,2021,Inmaculada Concepción,Albacete,Castilla-La Mancha,nacional
250,25,Diciembre,2021,Navidad,Albacete,Castilla-La Mancha,nacional
